,d_name,edp_365,current_expense_ada,current_expense_per_ada,lea_type
362,Leggett Valley Unified,2532724.55,116.14,21807.512915446874,Unified
363,Arena Union Elementary/Point Arena Joint Union High ,7605360.14,343.34000000000003,22151.10426982,Comm admin dist
367,Hilmar Unified,27435691.56,2249.43,12196.730531734707,Unified
369,Le Grand Union High,7339517.27,470.84,15588.13454676748,High
371,Los Banos Unified,123537113.74,10450.78,11820.851050352221,Unified
374,Merced Union High,137544105.4,9945.13,13830.297381733573,High
380,Gustine Unified,21609694.15,1736.58,12443.823002683435,Unified
382,Dos Palos Oro Loma Joint Unified,30401652.8,2281.61,13324.649173171576,Unified
383,Delhi Unified,32689459.85,2465.1,13260.90619041824,Unified
384,Surprise Valley Joint Unified,1758735.3,108.03,16280.063871146904,Unified
385,Modoc Joint Unified,9123385.6,801.48,11383.173129710036,Unified
386,Tulelake Basin Joint Unified,5821482.63,363.31,16023.458286311965,Unified
387,Eastern Sierra Unified,10198560.88,382.96,26630.87758512639,Unified
388,Mammoth Unified,14107207.29,1146.87,12300.615841376966,Unified
391,Carmel Unified,56264100.31,2359.12,23849.613546576693,Unified
396,South Monterey County Joint Union High,30055679.87,2200.76,13656.954811065267,High
399,Monterey Peninsula Unified,117786078.57,9011.46,13070.69870697978,Unified
400,Pacific Grove Unified,33796400.62,1904.3,17747.4140734128,Unified
402,Salinas Union High,190887922.52,14887.63,12821.914738611855,High
409,North Monterey County Unified,57712048.34,4320.11,13358.930291126848,Unified
410,Big Sur Unified,924327.85,11.02,83877.30036297641,Unified
411,Soledad Unified,60495166.91,4622.05,13088.384355426704,Unified
412,Gonzales Unified,30370795.07,2257.99,13450.367393123974,Unified
413,Calistoga Joint Unified,16625776.24,833.56,19945.506310283603,Unified
415,Napa Valley Unified,192879519.21,15697.36,12287.38585405444,Unified
417,Saint Helena Unified,33564781.54,1262.1,26594.3915220664,Unified
422,Nevada Joint Union High,37324644.1,2383.46,15659.85756001779,High
428,Anaheim Union High,364477147.08,28683.0,12707.079004288255,High
429,Brea-Olinda Unified,57997560.68,5776.97,10039.442939811008,Unified
431,Capistrano Unified,473897665.4,45170.979999999996,10491.197343958445,Unified
436,Fullerton Joint Union High,154360657.94,13012.74,11862.27173831184,High
437,Garden Grove Unified,529652657.8,40854.24,12964.447699920498,Unified
439,Huntington Beach Union High,191539816.73,15164.13,12631.111493372848,High
440,Laguna Beach Unified,57162920.9,2737.99,20877.695280114247,Unified
443,Newport-Mesa Unified,292042176.01,19606.46,14895.201684036792,Unified
445,Orange Unified,279010634.57,24206.8,11526.126318637738,Unified
446,Placentia-Yorba Linda Unified,265699576.55,24262.65,10950.971000694482,Unified
447,Santa Ana Unified,625032698.53,44928.91,13911.592747965618,Unified
450,Saddleback Valley Unified,296122935.12,25523.67,11601.894834089298,Unified
451,Tustin Unified,246274739.01,22921.38,10744.324251419417,Unified
452,Irvine Unified,376943898.29,34271.72,10998.686330595605,Unified
453,Los Alamitos Unified,108644810.37,9470.12,11472.379480935828,Unified
464,Placer Union High,47448637.17,3679.26,12896.244671482853,High
466,Roseville Joint Union High,118922913.32,9797.62,12137.938940273249,High
467,Tahoe-Truckee Unified,69497224.88,3675.66,18907.413873970934,Unified
468,Western Placer Unified,74358031.53,6764.79,10991.920152732015,Unified
469,Rocklin Unified,127901296.11,11589.79,11035.687109947634,Unified
470,Plumas Unified,27008743.89,1701.58,15872.744090786211,Unified
471,Alvord Unified,233776019.91,17539.61,13328.461688144718,Unified
472,Banning Unified,57967453.27,4244.92,13655.723375234398,Unified
473,Beaumont Unified,113392474.64,9960.32,11384.420845916597,Unified
474,Corona-Norco Unified,576153307.81,50989.66,11299.414583466529,Unified
