d_name,sat_num_tst_takr,sat_num_erw_over_benchmark,sat_pct_erw_over_benchmark,sat_num_math_over_benchmark,sat_pct_math_over_benchmark,sat_enroll,sat_tot_num_both_over_benchmark,sat_pct_both_over_benchmark,annual_expense_of_ed,current_expense_ada,current_expense_per_ada,lea_type,avg_tchr_sex,avg_tchr_age,avg_tchr_edu_lvl,avg_tchr_yrs_tching,avg_tchr_yrs_in_dstrct,tchrs_per_district,cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct,student_teacher_ratio,act_enroll,act_num_tst_takr,act_avg_scr_read,act_avg_scr_eng,act_avg_scr_math,act_avg_scr_sci,act_num_ge_21,act_pct_ge_21
Burbank Unified,1044.0,877.0,0.8406666666666666,754.0,0.7245333333333334,2626.0,733.0,0.8891333333333332,169596961.86,14579.31,11632.715256071791,Unified,0.7478580171358629,45.307221542227666,4.855569155446757,15.62545899632803,12.325581395348838,817,15975.0,6143.0,0.38453834115805946,19.553243574051407,632.5,88.0,25.666666666666668,25.333333333333332,24.666666666666668,24.0,93.0,0.7939333333333333
Butte Valley Unified,0.0,0.0,,0.0,,36.0,0.0,,4072326.67,273.06,14913.669779535632,Unified,0.6521739130434783,45.04347826086956,4.391304347826087,12.608695652173912,9.434782608695652,23,328.0,286.0,0.8719512195121951,14.26086956521739,18.0,0.0,,,,,,
Cabrillo Unified,154.0,120.0,0.7792,88.0,0.5714,520.0,110.0,0.7857,38226512.39,3012.99,12687.235068818683,Unified,0.6589595375722543,45.95375722543353,4.595375722543353,13.352601156069364,10.346820809248555,173,3260.0,1477.0,0.4530674846625767,18.84393063583815,237.0,65.0,27.0,26.0,25.0,25.0,50.0,0.7692
Calaveras Unified,74.0,68.0,0.9189,52.0,0.7027,435.0,82.0,0.5775,31919226.42,2644.37,12070.635508646674,Unified,0.7579617834394905,48.382165605095544,4.019108280254777,17.573248407643312,13.089171974522293,157,3151.0,1886.0,0.5985401459854015,20.070063694267517,140.0,12.666666666666666,25.0,22.0,24.0,23.0,16.0,0.8421
Calexico Unified,388.0,274.0,0.7062,208.0,0.5361,1530.0,190.0,0.5655,117889165.07,8786.56,13416.987429665307,Unified,0.6963906581740976,45.76433121019108,5.0615711252653925,14.51380042462845,14.21231422505308,471,9898.0,8594.0,0.8682562133764397,21.014861995753716,820.0,90.0,20.0,19.0,21.0,20.0,35.0,0.3889
Calipatria Unified,54.0,28.0,0.5185,12.0,0.22219999999999998,184.0,0.0,,15757347.24,1080.21,14587.299913905628,Unified,0.7083333333333334,43.22222222222222,4.25,15.722222222222221,13.458333333333334,72,1227.0,1047.0,0.8533007334963325,17.041666666666668,91.0,19.0,20.0,21.0,19.0,20.0,9.0,0.47369999999999995
Calistoga Joint Unified,32.0,16.0,0.5,6.0,0.1875,101.0,6.0,0.0968,16625776.24,833.56,19945.506310283603,Unified,0.71875,45.296875,4.296875,13.140625,8.640625,64,897.0,679.0,0.7569676700111483,14.015625,47.0,13.0,,,,,,
Campbell Union High,1322.0,1161.0,0.8656666666666667,917.0,0.6718500000000001,3921.0,1450.0,0.8029166666666666,106899706.23,7785.49,13730.633040438046,High,0.5871559633027523,43.096330275229356,5.282110091743119,10.6651376146789,8.112385321100918,436,8867.0,2838.0,0.32006315552046916,20.337155963302752,647.3333333333334,134.33333333333334,26.333333333333332,26.0,24.833333333333332,25.333333333333332,108.0,0.7873333333333333
Capistrano Unified,2664.0,2415.0,0.8946375,1995.0,0.732525,9224.0,2630.0,0.8234625,473897665.4,45170.979999999996,10491.197343958445,Unified,0.7545963229416467,44.741806554756195,5.572741806554756,14.6550759392486,13.249400479616307,2502,56918.0,16453.0,0.2890649706595453,22.749000799360513,871.7272727272727,264.54545454545456,26.0,26.25,25.375,25.125,307.875,0.8393875
Carlsbad Unified,682.0,619.0,0.9135,523.0,0.7715,1772.0,723.0,0.8386,121676852.86,10913.85,11148.847827302006,Unified,0.7671691792294807,44.778894472361806,6.981574539363484,14.02177554438861,11.954773869346734,597,11820.0,2975.0,0.2516920473773266,19.798994974874372,440.0,129.0,25.333333333333332,25.666666666666668,25.333333333333332,24.666666666666668,135.0,0.7981
Carmel Unified,118.0,110.0,0.9322,92.0,0.7797,456.0,176.0,0.9670000000000001,56264100.31,2359.12,23849.613546576693,Unified,0.656084656084656,47.32275132275132,5.158730158730159,18.52910052910053,11.677248677248677,189,2579.0,481.0,0.18650639782861575,13.645502645502646,211.0,121.0,26.0,26.0,25.0,25.0,93.0,0.7686
Carpinteria Unified,98.0,78.0,0.7959,68.0,0.6939,303.0,90.0,0.7143,30542984.0,2072.64,14736.27064999228,Unified,0.7412587412587412,44.71328671328671,5.503496503496503,15.20979020979021,11.391608391608392,143,2300.0,1419.0,0.6169565217391304,16.083916083916083,157.5,39.0,22.0,19.0,22.0,22.0,21.0,0.5385
Caruthers Unified,114.0,58.0,0.5088,24.0,0.21050000000000002,328.0,28.0,0.209,18017826.49,1443.35,12483.338407177745,Unified,0.6436781609195402,41.0919540229885,4.954022988505747,12.597701149425287,10.126436781609195,87,1631.0,1470.0,0.9012875536480687,18.74712643678161,150.5,8.0,,,,,,
