cumulative_enrollment,cum_enrollment_sed,socio_ec_disadv_pct
648.0,528.0,0.8148148148148148
1497.0,810.0,0.5410821643286573
200.0,109.0,0.545
16405.0,8984.0,0.5476379152697348
30488.0,15202.0,0.4986224088165836
2419.0,2017.0,0.8338156262918561
1182.0,879.0,0.7436548223350253
329.0,301.0,0.9148936170212766
32586.0,19171.0,0.5883201374823543
36.0,19.0,0.5277777777777778
283.0,214.0,0.7561837455830389
7215.0,2675.0,0.37075537075537074
252.0,39.0,0.15476190476190477
180.0,71.0,0.39444444444444443
1491.0,949.0,0.636485580147552
46248.0,21897.0,0.4734691229891022
19479.0,18082.0,0.9282817393089995
4890.0,4348.0,0.8891615541922291
596.0,452.0,0.7583892617449665
11.0,0.0,0.0
173.0,13.0,0.07514450867052024
413.0,240.0,0.5811138014527845
388.0,175.0,0.45103092783505155
