d_name,gender_code,age,education_level,years_teaching,years_in_district,tchrs_per_district
Beverly Hills Unified,0.7272727272727273,44.397306397306394,6.377104377104377,15.64983164983165,10.88888888888889,297
Big Creek Elementary,0.8,49.8,4.4,20.0,12.8,5
Big Lagoon Union Elementary,0.75,49.0,5.0,18.25,7.25,4
Big Oak Flat-Groveland Unified,0.7407407407407407,52.111111111111114,3.740740740740741,15.814814814814815,9.666666666666666,27
Big Pine Unified,0.7391304347826086,47.04347826086956,4.695652173913044,8.391304347826088,5.434782608695652,23
Big Springs Union Elementary,0.7272727272727273,42.27272727272727,3.272727272727273,14.909090909090908,8.818181818181818,11
Big Sur Unified,0.75,54.916666666666664,4.0,15.083333333333334,8.166666666666666,12
Big Valley Joint Unified,0.6363636363636364,44.36363636363637,3.5454545454545454,8.636363636363637,7.818181818181818,11
Biggs Unified,0.6923076923076923,42.53846153846154,3.7948717948717947,11.487179487179487,7.794871794871795,39
Bishop Unified,0.6956521739130435,45.208695652173915,4.852173913043479,14.530434782608696,9.808695652173913,115
Bitterwater-Tully Elementary,1.0,49.5,4.5,18.0,18.0,2
Black Butte Union Elementary,0.5384615384615384,55.61538461538461,5.230769230769231,17.076923076923077,13.0,13
Black Oak Mine Unified,0.671875,48.578125,3.78125,12.703125,10.3125,64
Blake Elementary,1.0,63.0,3.0,16.0,9.0,1
Blochman Union Elementary,0.8191489361702128,43.52127659574468,4.361702127659575,12.797872340425531,4.819148936170213,94
Blue Lake Union Elementary,1.0,43.57142857142857,3.0,10.857142857142858,4.857142857142857,14
Bogus Elementary,1.0,26.0,4.0,1.0,1.0,1
Bolinas-Stinson Union,0.75,51.916666666666664,4.833333333333333,19.833333333333332,11.75,12
Bonita Unified,0.7522935779816514,43.01651376146789,6.576146788990826,13.291743119266055,11.20183486238532,545
Bonny Doon Union Elementary,0.9230769230769231,46.15384615384615,5.0,16.384615384615383,6.384615384615385,13
Bonsall Unified,0.8206896551724138,41.93103448275862,4.744827586206896,7.7379310344827585,6.117241379310345,145
Borrego Springs Unified,0.6197183098591549,41.683098591549296,3.5,11.133802816901408,3.0774647887323945,142
Bradley Union Elementary,0.7684729064039408,40.79802955665025,3.7241379310344827,6.8817733990147785,1.3990147783251232,203
Brawley Elementary,0.8160377358490566,44.31603773584906,4.985849056603773,13.382075471698114,12.254716981132075,212
Brawley Union High,0.504950495049505,45.277227722772274,5.267326732673268,15.445544554455445,13.049504950495049,101
Brea-Olinda Unified,0.7656765676567657,43.537953795379536,5.666666666666667,15.158415841584159,12.58085808580858,303
Brentwood Union Elementary,0.8528225806451613,43.939516129032256,4.473790322580645,15.79233870967742,12.120967741935484,496
